date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:03	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.woff2	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regular.woff2	(from http://moya.bitballoon.com/css/bootstrap.css)
14:28:05	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.woff	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regular.woff	(from http://moya.bitballoon.com/css/bootstrap.css)
14:28:06	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regular.ttf	(from http://moya.bitballoon.com/css/bootstrap.css)
14:28:07	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.svg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regular.svg	(from http://moya.bitballoon.com/css/bootstrap.css)
14:28:16	76518/76518	---MCZ	200	added ('OK')	application/octet-stream	etag:%22f98190e18602d82df641543826f44709-ssl-df%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfont5b62.eot	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:18	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22b98fe7a4578206aefd58af2472b245fe-ssl%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfont5b62.woff2	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:22	76518/76518	---MCZ	200	added ('OK')	application/octet-stream	etag:%22f98190e18602d82df641543826f44709-ssl-df%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.eot?	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfontd41d.eot	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:26	90412/90412	---MCZ	200	added ('OK')	application/font-woff	etag:%22a0aacd9477efb88313baafb3a063e500-ssl-df%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfont5b62.woff	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:31	50826/50826	---MCZ	200	added ('OK')	application/octet-stream	etag:%228e7d20791a82e181e7c4854d7e1f01a2-ssl-df%22	http://moya.bitballoon.com/fonts/flaticon.eot	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/flaticon.eot	(from http://moya.bitballoon.com/css/flaticon.css)
14:28:31	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	etag:%225e7a3fe72c5c721269b5bc025f436b04-ssl-df%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfont5b62.svg	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:33	50826/50826	---MCZ	200	added ('OK')	application/octet-stream	etag:%228e7d20791a82e181e7c4854d7e1f01a2-ssl-df%22	http://moya.bitballoon.com/fonts/flaticond41d.eot?	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/flaticond41dd41d.eot	(from http://moya.bitballoon.com/css/flaticon.css)
14:28:34	152796/152796	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%22197bb05bf9ad23f0974dd68e0c270eac-ssl-df%22	http://moya.bitballoon.com/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/fontawesome-webfont5b62.ttf	(from http://moya.bitballoon.com/css/font-awesome.min.css)
14:28:34	30828/30828	---M-Z	200	added ('OK')	application/font-woff	etag:%224f2c0cb592a19b75b23794a021ffee04-ssl-df%22	http://moya.bitballoon.com/fonts/flaticon.woff	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/flaticon.woff	(from http://moya.bitballoon.com/css/flaticon.css)
14:28:36	50648/50648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%223163f2a733d955f570bcbc24a5ddc56e-ssl-df%22	http://moya.bitballoon.com/fonts/flaticon.ttf	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/flaticon.ttf	(from http://moya.bitballoon.com/css/flaticon.css)
14:28:37	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/images/elements/cloudwash.png	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/elements/cloudwash.png	(from http://moya.bitballoon.com/css/style.css)
14:28:38	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/images/world-map.png	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/world-map.png	(from http://moya.bitballoon.com/css/style.css)
14:28:42	314513/314513	---MCZ	200	added ('OK')	image/svg+xml	etag:%22f4e816f64525270559cc1be9d8463be1-ssl-df%22	http://moya.bitballoon.com/fonts/flaticon.svg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/flaticon.svg	(from http://moya.bitballoon.com/css/flaticon.css)
14:28:46	38462/38462	---M--	200	added ('OK')	image/jpeg	etag:%22c9c76fd642076f127e66a58814709602-ssl%22	http://moya.bitballoon.com/images/4.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/4.jpg	(from http://moya.bitballoon.com/css/style.css)
14:28:52	67079/67079	---M--	200	added ('OK')	image/png	etag:%22589a878624c21f55f0fb891f76e65cc2-ssl%22	http://moya.bitballoon.com/images/header-images/demo-2.png	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/header-images/demo-2.png	(from http://moya.bitballoon.com/css/style.css)
14:28:54	52386/52386	---M--	200	added ('OK')	image/jpeg	etag:%22b2e3b70bea7fb41edbb391c4f05ff5c8-ssl%22	http://moya.bitballoon.com/images/header-images/bg/colored-bg.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/header-images/bg/colored-bg.jpg	(from http://moya.bitballoon.com/css/style.css)
14:28:57	91476/91476	---M--	200	added ('OK')	image/jpeg	etag:%22066b71a9bb030dccfc9b7e4c2f53df1b-ssl%22	http://moya.bitballoon.com/images/header-images/bg/dark-bg.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/header-images/bg/dark-bg.jpg	(from http://moya.bitballoon.com/css/style.css)
14:28:58	118033/118033	---M--	200	added ('OK')	image/jpeg	etag:%2200d6b4d499ab5271f6eb808a0557635b-ssl%22	http://moya.bitballoon.com/images/header-images/bg/bg-circular.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/header-images/bg/bg-circular.jpg	(from http://moya.bitballoon.com/css/style.css)
14:29:06	111397/111397	---M--	200	added ('OK')	image/jpeg	etag:%22f5c9eb4f90089639b8bd1355cf33effc-ssl%22	http://moya.bitballoon.com/images/blog/blog-bg.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/blog/blog-bg.jpg	(from http://moya.bitballoon.com/css/style.css)
14:29:14	317671/317671	---M--	200	added ('OK')	image/jpeg	etag:%2295af67742b09d479b0bbc275ee29440b-ssl%22	http://moya.bitballoon.com/images/header-images/bg/bg.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/header-images/bg/bg.jpg	(from http://moya.bitballoon.com/css/style.css)
